timestamp,servo1,servo2,servo3,servo4,servo5,servo6
-1,180,165,180,180,180,73
0,90,90,90,90,90,73
100,90,90,110,108,90,59
200,90,90,130,126,90,45
300,90,90,150,145,90,31
400,90,90,170,163,90,17
500,90,90,180,172,90,10
600,90,90,180,172,90,10
700,90,90,180,172,90,10
800,90,90,180,172,90,10
900,90,90,180,172,90,10
1000,90,90,180,172,90,10
1100,90,90,180,172,90,10
1200,90,90,180,172,90,10
1300,90,90,180,172,90,10
1400,90,90,180,172,90,10
1500,90,90,180,172,90,10
1600,90,90,180,172,90,10
1700,90,90,180,172,90,10
1800,90,90,180,172,90,10
1900,90,90,180,172,90,10
2000,90,90,180,172,90,10
2100,90,90,180,172,90,10
2200,90,90,180,172,90,10
2300,90,90,180,172,90,10
2400,90,90,180,172,90,10
2500,90,90,180,172,90,10
2600,90,90,180,172,90,10
2700,90,90,180,172,90,10
2800,90,90,180,172,90,10
2900,90,90,180,172,90,10
3000,90,90,180,172,90,10
3100,90,90,180,172,90,10
3200,90,90,180,172,90,10
3300,90,90,180,172,90,10
3400,90,90,180,172,90,10
3500,90,90,180,172,90,10
3600,90,90,180,172,90,10
3700,90,90,180,172,90,10
3800,90,90,180,172,90,10
3900,90,90,180,172,90,10
4000,90,90,180,172,90,10
4100,90,82,178,152,90,10
4200,90,74,175,132,90,10
4300,90,66,173,112,90,10
4400,90,57,171,92,90,10
4500,90,55,170,86,90,10
4600,90,55,170,86,90,10
4700,90,55,170,86,90,10
4800,90,55,170,86,90,10
4900,90,55,170,86,90,10
5000,90,55,170,86,90,10
5100,90,55,170,86,90,10
5200,90,55,170,86,90,10
5300,90,55,170,86,90,10
5400,90,55,170,86,90,10
5500,90,55,170,86,90,10
5600,90,55,170,86,90,10
5700,90,55,170,86,90,10
5800,90,55,170,86,90,10
5900,90,55,170,86,90,10
6000,90,55,170,86,90,10
6100,90,55,170,86,90,10
6200,90,55,170,86,90,10
6300,90,55,170,86,90,10
6400,90,55,170,86,90,10
6500,90,55,170,86,90,10
6600,90,55,170,86,90,10
6700,90,55,170,86,90,10
6800,90,55,170,86,90,10
6900,90,55,170,86,90,10
7000,90,55,170,86,90,10
7100,90,55,170,86,90,10
7200,90,55,170,86,90,10
7300,90,55,170,86,90,10
7400,90,55,170,86,90,10
7500,90,55,170,86,90,10
7600,90,55,170,86,90,10
7700,90,55,170,86,90,10
7800,90,55,170,86,90,10
7900,90,55,170,86,90,10
8000,90,55,170,86,90,10
8100,90,55,170,86,90,10
8200,90,55,170,86,90,10
8300,90,55,170,86,90,10
8400,90,55,170,86,90,10
8500,90,55,170,86,90,10
8600,90,55,170,86,90,10
8700,90,55,170,86,90,10
8800,90,55,170,86,90,10
8900,90,55,170,86,90,10
9000,90,55,170,86,90,10
9100,76,60,158,87,90,15
9200,62,66,145,87,90,20
9300,48,71,133,88,90,25
9400,34,77,120,88,90,31
9500,20,82,108,89,90,36
9600,6,88,95,90,90,41
9700,0,90,90,90,90,43
9800,0,90,90,90,90,43
9900,0,90,90,90,90,43
10000,0,90,90,90,90,43
10100,0,90,90,90,90,43
10200,0,90,90,90,90,43
10300,0,90,90,90,90,43
10400,0,90,90,90,90,43
10500,0,90,90,90,90,43
10600,0,90,90,90,90,43
10700,0,90,90,90,90,43
10800,0,90,90,90,90,43
10900,0,90,90,90,90,43
11000,0,90,90,90,90,43
11100,0,90,90,90,90,43
11200,0,90,90,90,90,43
11300,0,90,90,90,90,43
11400,0,90,90,90,90,43
11500,0,90,90,90,90,43
11600,0,90,90,90,90,43
11700,0,90,90,90,90,43
11800,0,90,90,90,90,43
11900,0,90,90,90,90,43
12000,0,90,90,90,90,43
12100,0,90,90,90,90,43
12200,0,90,90,90,90,43
12300,0,90,90,90,90,43
12400,0,90,90,90,90,43
12500,0,90,90,90,90,43
12600,0,90,90,90,90,43
12700,0,90,90,90,90,43
12800,0,90,90,90,90,43
12900,0,90,90,90,90,43
13000,0,90,90,90,90,43
13100,0,90,90,90,90,43
13200,0,90,90,90,90,43
13300,0,90,90,90,90,43
13400,0,90,90,90,90,43
13500,0,90,90,90,90,43
13600,0,90,90,90,90,43
13700,0,90,90,90,90,43
13800,0,90,90,90,90,43
13900,0,90,90,90,90,43
14000,0,90,90,90,90,43
14100,14,90,90,90,90,48
14200,28,90,90,90,90,52
14300,42,90,90,90,90,57
14400,56,90,90,90,90,62
14500,70,90,90,90,90,66
14600,84,90,90,90,90,71
14700,90,90,90,90,90,73
14800,90,90,90,90,90,73
14900,90,90,90,90,90,73
15000,90,90,90,90,90,73
15100,90,90,90,90,90,73
15200,90,90,90,90,90,73
15300,90,90,90,90,90,73
15400,90,90,90,90,90,73
15500,90,90,90,90,90,73
15600,90,90,90,90,90,73
15700,90,90,90,90,90,73
15800,90,90,90,90,90,73
15900,90,90,90,90,90,73
16000,90,90,90,90,90,73
16100,90,90,90,90,90,73
